name,rating
"Guillermo del Toro, Chuck Hogan",Intermediate
"Emily Dickinson, Thomas H. Johnson",Excellent
Fred Gipson,Excellent
Steve Martin,Intermediate
Frank Warren,Excellent
George R.R. Martin,Famous
"Mary Norton, Beth Krush, Joe Krush",Excellent
Jodi Picoult,Excellent
"Haruki Murakami, Alfred Birnbaum",Intermediate
Laini Taylor,Excellent
Alexandra Bracken,Excellent
Norman Vincent Peale,Excellent
"Edith Wharton, Nina Bawden",Intermediate
"Hiro Mashima, William Flanagan",Famous
"Patrick Rothfuss, Nate  Taylor",Intermediate
Solomon Northup,Excellent
Nathaniel Philbrick,Excellent
Ayaan Hirsi Ali,Excellent
Nassim Nicholas Taleb,Intermediate
"Aleksandr Solzhenitsyn, H.T. Willetts",Intermediate
Walter M. Miller Jr.,Intermediate
Colm TÃ³ibÃ­n,Intermediate
Lauren DeStefano,Intermediate
J.D. Vance,Intermediate
Stephen Crane,Novice
Randall Munroe,Excellent
Steven Erikson,Intermediate
Paulo Coelho,Intermediate
Suzanne Collins,Intermediate
Terry Goodkind,Intermediate
Anne Tyler,Novice
Colson Whitehead,Excellent
Cora Carmack,Intermediate
J.M. Coetzee,Intermediate
"A.A. Milne, Ernest H. Shepard",Excellent
Sue Monk Kidd,Novice
Arnold Lobel,Excellent
B.A. Paris,Intermediate
Michael Shaara,Excellent
Sharon M. Draper,Excellent
Lauren Kate,Excellent
Amanda Hocking,Intermediate
"Boris Pasternak, Max Hayward, Manya Harari, John Bayley",Excellent
Blake Crouch,Intermediate
P.D. James,Novice
Edith Wharton,Novice
"Jane Hamilton, Frank  Muller, C.J. Critt",Intermediate
Colleen Hoover,Famous
"O. Henry, Lisbeth Zwerger",Excellent
Tom Wolfe,Intermediate
"William S. Burroughs, James Grauerholz, Barry  Miles",Novice
"Neil Gaiman, Kelley Jones, Charles Vess, Colleen Doran, Malcolm Jones III, Steve Erickson",Excellent
"Ursula K. Le Guin, Lech JÄ™czmyk",Excellent
"John Green, Maureen Johnson, Lauren Myracle",Intermediate
Atul Gawande,Famous
Dean Koontz,Excellent
"Henrik Ibsen, Michael   Meyer",Intermediate
James A. Michener,Excellent
Richard Yates,Intermediate
"Rachel Cohn, David Levithan",Intermediate
"Tom Stoppard, Henry Popkin",Excellent
Alex Garland,Intermediate
"Beth Hoffman, Jenna Lamia",Intermediate
Beverly Cleary,Intermediate
Ursula K. Le Guin,Excellent
Raymond E. Feist,Excellent
Jennifer Crusie,Intermediate
Nelson Mandela,Excellent
Bryce Courtenay,Excellent
Dashiell Hammett,Intermediate
